"entity_ID" "noendem" "geo_entity" "entity_class" "longitude" "latitude" "area" "area_ratio" "extent_ratio" "no_polygons" "dist" "botanical_continent" "biome" "geology" "age_Ma" "native_proc" "naturalized_proc" "CHELSA_annual_mean_Temp" "CHELSA_annual_Prec" "GDP" "Popdensity" "HI" "HF" "elev_range" "nfix" "endem"
"81" 277 8 "Aldabra" "Island" 46.368814 -9.425483 164.227088 0.730052900895375 0.977166840826035 19 626.196 "AFRICA" "Deserts & Xeric Shrublands" "dev" 0.08 239 NA 26.5399 1089.17098 0.00022 3.68886 NA NA 7 "nfix" 0
"82" 278 4 "Assumption" "Island" 46.511512 -9.730865 12.077091 1 1 1 649.418 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 65 131 NA 26.55652 1105.47826 0.00037 3.68886 NA NA 10 "nfix" 0
"83" 279 4 "Cosmoledo" "Island" 47.573175 -9.726323 6.273316 0.455075752600379 0.186553938534673 12 759.776 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.08 123 NA 26.5 1039.08333 4e-05 3.68886 NA NA 10 "nfix" 0
"84" 280 2 "Astove" "Island" 47.741723 -10.086604 10.95707 0.994219896377407 1 2 778.004 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.08 128 NA 26.5 1041.66667 8e-05 3.68886 NA NA 8 "nfix" 0
"85" 281 2 "St Pierre" "Island" 50.727514 -9.331684 1.877706 1 1 1 1115.141 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 15 30 NA 26.3 1436 0 3.68886 NA NA 5 "nfix" 0
"86" 282 1 "Providence" "Island" 50.986918 -9.53196 1.330469 0.580466737669198 0.701118929518976 3 1140.372 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 15 22 NA 26.3 1454 0.00021 3.68886 NA NA 2 "nfix" 0
"87" 283 1 "Farquhar" "Island" 51.165566 -10.159321 9.13084 0.479471658686386 0.289919922198312 7 1139.851 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 15 74 NA 26.27143 1449.33333 0.00064 3.68886 NA NA 10 "nfix" 0
"88" 286 0 "African Banks" "Island" 53.386793 -4.880127 0.069895 1 1 1 1150.794 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 19 NA NA NA 0 3.68886 NA NA 0 "nfix" 0
"89" 287 0 "Remire" "Island" 53.312336 -5.116641 0.314566 1 1 1 1163.661 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 58 NA 26.9 2068 0 3.68886 NA NA 0 "nfix" 0
"90" 288 1 "Desroches" "Island" 53.66904 -5.689396 4.362499 1 1 1 1236.049 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.127 58 NA 26.79231 2220.15385 0 3.68886 NA NA 13 "nfix" 0
